# RA AGN survey catalog ver 0.15
# Created on 2021-04-16 09:59:31 UTC
#
# Table columns description:
#  1. source   : B1950 source name
#  2. j2000    : J2000 source name
#  3. exper    : Experement code
#  4. date     : Experiment nominal start date
#  5. time     : Experiment nominal start time
#  6. band     : Frequency band code
#  7. polar    : Polarization
#  8. sta1     : First station name
#  9. sta2     : Second station name
# 10. elev1    : Source elevation at station one
# 11. elev2    : Source elevation at station two
# 12. snr      : Mean value of SNR
# 13. base_ml  : Baseline projection in Mega lambda
# 14. base_cm  : Baseline projection in centimeters
# 15. pa       : Baseline position angle in degrees
# 16. ampl     : Average correlated flux density in Jy
# 17. ampl_err : Correlated flux density error in Jy
# 18. coeff    : Flux density correction coefficient for coherent losses compensation
# 19. solint   : Mean value of the fringe fitting solution interval in seconds
# 20. data_len : Total data length used for correlated flux density calculation in seconds
#
#  Detection status of each observation is determined by signal-to-noise ratio
#  (SNR) and Probability of False Detection (PFD).
#
#    * SNR >= SNR(PFD=1e-4): "Yes"
#    * SNR >= SNR(PFD=1e-3) and delay < 0.5 ms and rate < 1e-12 s/s : "Yes"
#    * SNR(PFD=1e-2) <= SNR < SNR(PFD=1e-4): "Uncertain"
#    * SNR < SNR(PFD=1e-2): "No"
#
#  For RA AGN survey catalog only observations with status "Yes" is used.
#
#  Changes:
#  * 0.10
#    - Initial version.
#  * 0.11
#    - Split date-time column to two separate columns.
#  * 0.12
#    - PIMA 2.25: massive changes in handling bandpass computation, bandpass
#      normalization and re-normalization.
#  * 0.13
#    - Add column with J2000 source name.
#  * 0.14
#    - New bandpass calibration parameters: only phase solution with linear
#      interpolation.
#  * 0.15
#    - Add column names.
#
#
  source      j2000    exper       date     time band polar     sta1     sta2 elev1 elev2     snr base_ml   base_cm     pa   ampl ampl_err  coeff  solint  data_len
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    LL IRBENE16     NOTO  49.6  69.4    77.2    33.1 2.060e+08 -162.9 0.3960   0.0057 1.0000      60      1193
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    LL MEDICINA     NOTO  61.3  69.4   128.0    13.1 8.123e+07  165.9 0.4282   0.0041 1.0000      60      1192
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    RR GBT-VLBA  SVETLOE  58.7  18.1   824.7    33.0 5.997e+08   62.9 0.2262   0.0104 1.0000      58      1163
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    RR GBT-VLBA    TORUN  58.7  24.3  1550.9    34.3 6.218e+08   70.7 0.2115   0.0004 1.0000      58      1152
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    RR GBT-VLBA WSTRB-07  58.7  31.4   204.4    32.2 5.851e+08   71.8 0.0886   0.0007 1.0000      58      1163
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    RR  SVETLOE    TORUN  18.1  24.4   225.6     4.7 8.548e+07  141.9 0.1504   0.0070 1.0000      58      1169
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    RR  SVETLOE WSTRB-07  18.1  31.5    27.5     5.1 9.276e+07  166.4 0.0707   0.0028 1.0000      60       598
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    RR    TORUN WSTRB-07  24.3  31.5    52.9     2.1 3.857e+07 -126.5 0.0539   0.0011 1.0000      59       711
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    LL GBT-VLBA  SVETLOE  58.7  18.1   801.6    33.0 5.997e+08   62.9 0.3929   0.0163 1.0000      58      1163
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    LL GBT-VLBA    TORUN  58.7  24.3  1387.8    34.3 6.218e+08   70.7 0.2365   0.0032 1.0000      58      1152
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    LL GBT-VLBA WSTRB-07  58.7  31.4    43.2    32.2 5.851e+08   71.8 0.0239   0.0027 1.0000      58       983
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    LL  SVETLOE    TORUN  18.1  24.4   171.2     4.7 8.548e+07  141.9 0.3221   0.0121 1.0000      58      1169
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:02    L    LL    TORUN WSTRB-07  24.3  31.5     9.5     2.1 3.857e+07 -126.5 0.0160   0.0085 1.0336     592      1183
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    RR  ARECIBO IRBENE16  77.3  22.2   513.3   106.9 6.649e+08   45.1 0.2761   0.0069 1.0000      59      1181
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    RR  ARECIBO MEDICINA  77.3  29.5   936.2   105.3 6.548e+08   57.5 0.2807   0.0066 1.0000      59      1180
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    RR  ARECIBO     NOTO  77.3  27.2   398.2   109.3 6.799e+08   64.6 0.2572   0.0053 1.0000      59      1180
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    RR IRBENE16 MEDICINA  22.2  29.5   172.3    23.0 1.433e+08  145.3 0.4721   0.0123 1.0000      60      1190
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    RR IRBENE16     NOTO  22.2  27.2    71.6    36.8 2.286e+08  141.1 0.4142   0.0141 1.0000      59      1190
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    RR MEDICINA     NOTO  29.5  27.2   145.9    13.9 8.639e+07  134.2 0.4920   0.0035 1.0000      59      1190
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    LL  ARECIBO IRBENE16  77.3  22.2   643.5   106.9 6.649e+08   45.1 0.3319   0.0062 1.0000      59      1181
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    LL  ARECIBO MEDICINA  77.3  29.5   997.4   105.3 6.548e+08   57.5 0.3294   0.0060 1.0000      59      1180
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    LL  ARECIBO     NOTO  77.3  27.2   329.0   109.3 6.799e+08   64.6 0.2513   0.0045 1.0000      59      1180
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    LL IRBENE16 MEDICINA  22.2  29.5   195.6    23.0 1.433e+08  145.3 0.5379   0.0069 1.0000      60      1190
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    LL IRBENE16     NOTO  22.2  27.2    62.9    36.8 2.286e+08  141.1 0.4117   0.0047 1.0000      59      1190
0657+172 J0700+1709 rags28bu 2018-03-29 22:06:00    C    LL MEDICINA     NOTO  29.5  27.2   116.8    13.9 8.639e+07  134.2 0.4847   0.0047 1.0000      59      1190
2209+236 J2212+2355 rags28aa 2017-11-14 18:00:03    L    RR RADIO-AS  HARTRAO   0.0  37.0    21.7   131.0 2.377e+09   70.2 0.1642   0.0093 1.0000     120       960
2209+236 J2212+2355 rags28ab 2017-11-14 20:00:07    L    RR RADIO-AS  HARTRAO   0.0  21.5    29.6    95.7 1.737e+09  142.8 0.1965   0.0093 1.0000     118      1066
2209+236 J2212+2355 rags28ac 2017-11-14 22:00:01    L    RR RADIO-AS  ARECIBO   0.0  74.2   129.8   183.0 3.321e+09 -159.8 0.1199   0.0061 1.0000     118      1181
2209+236 J2212+2355 rags28ac 2017-11-14 22:00:01    L    LL RADIO-AS  ARECIBO   0.0  74.2    11.1   183.0 3.321e+09 -159.8 0.0246   0.0025 1.0000     170       509
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:01    L    RR EFLSBERG MEDICINA  45.6  50.5   920.3     3.7 6.624e+07 -172.7 0.7838   0.0162 1.0000      59      1180
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:01    L    RR EFLSBERG    TORUN  45.6  50.9  1281.8     4.2 7.562e+07   88.7 0.8453   0.0168 1.0000      59      1171
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:01    L    RR MEDICINA    TORUN  50.5  50.9   203.1     5.9 1.078e+08   51.3 0.8451   0.0043 1.0000      59      1171
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:01    L    RR RADIO-AS EFLSBERG   0.0  45.6    14.0   853.9 1.549e+10 -138.1 0.0276   0.0014 1.0000     171      1194
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:01    L    LL EFLSBERG MEDICINA  45.6  50.5  1173.5     3.7 6.624e+07 -172.7 0.8783   0.0132 1.0000      59      1180
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:01    L    LL EFLSBERG    TORUN  45.6  50.9   963.5     4.2 7.562e+07   88.7 0.8496   0.0101 1.0000      59      1171
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:01    L    LL MEDICINA    TORUN  50.5  50.9   154.9     5.9 1.078e+08   51.3 0.7677   0.0046 1.0000      59      1171
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:03    C    RR  HARTRAO IRBENE32  34.3  49.6   266.8   134.6 8.370e+08    4.8 0.7266   0.0084 1.0000      59      1189
2209+236 J2212+2355 rags28ad 2017-11-15 15:00:03    C    LL  HARTRAO IRBENE32  34.3  49.6    31.4   134.6 8.370e+08    4.8 0.0816   0.0025 1.0000      59      1189
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:01    L    RR EFLSBERG MEDICINA  63.4  69.4  1049.7     3.9 7.091e+07  149.6 0.8326   0.0135 1.0000      59      1182
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:01    L    RR EFLSBERG    TORUN  63.4  60.1  1315.8     4.6 8.345e+07   71.0 0.8137   0.0183 1.0000      59      1173
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:01    L    RR MEDICINA    TORUN  69.4  60.1   200.4     5.4 9.832e+07   26.0 0.7973   0.0115 1.0000      59      1173
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:01    L    RR RADIO-AS EFLSBERG   0.0  63.4     9.6   912.7 1.656e+10 -138.1 0.0197   0.0015 1.0067     300       900
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:01    L    LL EFLSBERG MEDICINA  63.4  69.4  1305.2     3.9 7.091e+07  149.6 0.9075   0.0152 1.0000      59      1182
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:01    L    LL EFLSBERG    TORUN  63.4  60.1  1017.3     4.6 8.345e+07   71.0 0.7753   0.0052 1.0000      59      1173
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:01    L    LL MEDICINA    TORUN  69.4  60.1   162.6     5.4 9.832e+07   26.0 0.7142   0.0105 1.0000      59      1173
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:02    C    RR  HARTRAO IRBENE32  37.0  55.3   262.0   134.2 8.348e+08   -7.4 0.6086   0.0068 1.0000      60      1191
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:02    C    RR  HARTRAO     NOTO  37.0  76.2   164.1   101.2 6.291e+08  -12.0 0.5295   0.0080 1.0000      60      1191
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:02    C    RR IRBENE32     NOTO  55.3  76.2   393.5    34.4 2.138e+08 -173.6 0.7221   0.0199 1.0000      60      1191
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:02    C    LL  HARTRAO IRBENE32  37.0  55.3    66.5   134.2 8.348e+08   -7.4 0.1630   0.0035 1.0000      60      1191
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:02    C    LL  HARTRAO     NOTO  37.0  76.2   156.6   101.2 6.291e+08  -12.0 0.5874   0.0082 1.0000      60      1191
2209+236 J2212+2355 rags28ae 2017-11-15 17:56:02    C    LL IRBENE32     NOTO  55.3  76.2   130.2    34.4 2.138e+08 -173.6 0.2465   0.0072 1.0000      60      1191
2209+236 J2212+2355 rags28af 2017-11-15 19:56:01    L    RR EFLSBERG MEDICINA  55.9  56.6   923.8     4.2 7.560e+07  132.6 0.7894   0.0112 1.0000      59      1180
2209+236 J2212+2355 rags28af 2017-11-15 19:56:01    L    RR EFLSBERG    TORUN  55.9  48.5  1349.8     3.8 6.878e+07   52.6 0.8678   0.0157 1.0000      59      1170
2209+236 J2212+2355 rags28af 2017-11-15 19:56:01    L    RR MEDICINA    TORUN  56.6  48.5   214.6     5.1 9.300e+07   -0.6 0.8818   0.0044 1.0000      59      1171
2209+236 J2212+2355 rags28af 2017-11-15 19:56:01    L    RR RADIO-AS EFLSBERG   0.0  55.9     7.8   945.1 1.715e+10 -138.1 0.0153   0.0014 1.0336     599      1197
2209+236 J2212+2355 rags28af 2017-11-15 19:56:01    L    LL EFLSBERG MEDICINA  55.9  56.6  1219.7     4.2 7.560e+07  132.6 0.8423   0.0187 1.0000      59      1180
2209+236 J2212+2355 rags28af 2017-11-15 19:56:01    L    LL EFLSBERG    TORUN  55.9  48.5   984.6     3.8 6.878e+07   52.6 0.8258   0.0129 1.0000      59      1170
2209+236 J2212+2355 rags28af 2017-11-15 19:56:01    L    LL MEDICINA    TORUN  56.6  48.5   160.1     5.1 9.300e+07   -0.6 0.7660   0.0080 1.0000      59      1171
2209+236 J2212+2355 rags28af 2017-11-15 19:56:02    C    RR  HARTRAO IRBENE32  21.5  44.7   221.8   131.7 8.188e+08  -14.0 0.5702   0.0067 1.0000      59      1190
2209+236 J2212+2355 rags28af 2017-11-15 19:56:02    C    RR  HARTRAO     NOTO  21.5  56.8    94.4    96.7 6.013e+08  -12.6 0.5477   0.0129 1.0000      59      1190
2209+236 J2212+2355 rags28af 2017-11-15 19:56:02    C    RR IRBENE32     NOTO  44.7  56.8   261.2    35.1 2.182e+08  162.3 0.8445   0.0212 1.0000      59      1190
2209+236 J2212+2355 rags28af 2017-11-15 19:56:02    C    LL  HARTRAO IRBENE32  21.5  44.7    76.2   131.7 8.188e+08  -14.0 0.2126   0.0047 1.0000      59      1190
2209+236 J2212+2355 rags28af 2017-11-15 19:56:02    C    LL  HARTRAO     NOTO  21.5  56.8    90.6    96.7 6.013e+08  -12.6 0.5560   0.0137 1.0000      59      1190
2209+236 J2212+2355 rags28af 2017-11-15 19:56:02    C    LL IRBENE32     NOTO  44.7  56.8    74.6    35.1 2.182e+08  162.3 0.2242   0.0058 1.0000      59      1190
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    L    RR MEDICINA  ARECIBO  35.8  74.2  1217.1    37.6 6.824e+08 -123.4 0.6122   0.0015 1.0000      58      1169
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    L    RR MEDICINA    TORUN  35.8  31.2   195.4     5.4 9.874e+07  -27.0 0.8608   0.0085 1.0000      58      1169
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    L    RR RADIO-AS  ARECIBO   0.0  74.2    13.7  1010.0 1.833e+10 -137.5 0.0241   0.0009 1.0000     119      1186
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    L    RR    TORUN  ARECIBO  31.2  74.2  1663.3    38.6 7.003e+08 -131.5 0.6952   0.0103 1.0000      59      1175
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    L    LL MEDICINA  ARECIBO  35.8  74.2  1462.0    37.6 6.824e+08 -123.4 0.6631   0.0067 1.0000      58      1169
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    L    LL MEDICINA    TORUN  35.8  31.2   156.7     5.4 9.874e+07  -27.0 0.7690   0.0082 1.0000      58      1169
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    L    LL    TORUN  ARECIBO  31.2  74.2  1106.8    38.6 7.003e+08 -131.5 0.5776   0.0011 1.0000      59      1175
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    C    RR EFLSBERG IRBENE32  38.6  29.2  1775.8    14.5 9.016e+07  -10.4 0.8380   0.0125 1.0000      60      1191
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    C    RR EFLSBERG     NOTO  38.6  32.8   907.0    25.1 1.560e+08  128.3 0.9357   0.0169 1.0000      59      1189
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    C    RR IRBENE32     NOTO  29.2  32.8   279.3    37.2 2.315e+08  143.2 0.9021   0.0209 1.0000      59      1189
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    C    LL EFLSBERG IRBENE32  38.6  29.2   621.9    14.5 9.016e+07  -10.4 0.2686   0.0034 1.0000      60      1191
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    C    LL EFLSBERG     NOTO  38.6  32.8   905.5    25.1 1.560e+08  128.3 0.9537   0.0163 1.0000      59      1189
2209+236 J2212+2355 rags28ag 2017-11-15 21:56:01    C    LL IRBENE32     NOTO  29.2  32.8    73.1    37.2 2.315e+08  143.2 0.2331   0.0054 1.0000      59      1189
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    L    RR MEDICINA  ARECIBO  14.8  75.5  1097.7    31.0 5.622e+08 -147.1 0.5922   0.0042 1.0000      59      1174
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    L    RR MEDICINA    TORUN  14.6  13.4   123.9     5.9 1.070e+08  -45.9 0.9437   0.0241 1.0000      59       995
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    L    RR RADIO-AS  ARECIBO   0.0  75.5    18.1  1032.5 1.873e+10 -137.7 0.0198   0.0008 1.0000     149      1188
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    L    RR    TORUN  ARECIBO  13.4  75.3  1132.6    32.6 5.916e+08 -157.6 0.7348   0.0245 1.0000      58       987
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    L    LL MEDICINA  ARECIBO  14.8  75.5  1212.2    31.0 5.622e+08 -147.1 0.5856   0.0055 1.0000      59      1174
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    L    LL MEDICINA    TORUN  14.6  13.4   100.8     5.9 1.070e+08  -45.9 0.7919   0.0189 1.0000      59       995
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    L    LL    TORUN  ARECIBO  13.4  75.3   772.5    32.6 5.916e+08 -157.6 0.5997   0.0179 1.0000      58       987
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    C    RR EFLSBERG IRBENE32  19.6  13.6  1233.0    17.2 1.067e+08  -42.2 0.8787   0.0219 1.0000      60      1193
2209+236 J2212+2355 rags28ah 2017-11-15 23:56:01    C    LL EFLSBERG IRBENE32  19.6  13.6   421.1    17.2 1.067e+08  -42.2 0.2733   0.0071 1.0000      60      1193
2209+236 J2212+2355 rags28ai 2017-12-02 18:30:03    L    RR RADIO-AS  HARTRAO   0.0  24.6    37.8    90.8 1.648e+09  133.5 0.3038   0.0134 1.0000     132      1188
2209+236 J2212+2355 rags28ai 2017-12-02 18:30:00    C    RR IRBENE32    TORUN  46.9  51.0   553.8     7.2 4.479e+07  170.6 0.4363   0.0013 1.0000      58      1169
2209+236 J2212+2355 rags28ai 2017-12-02 18:30:00    C    LL IRBENE32    TORUN  46.9  51.0    81.3     7.2 4.479e+07  170.6 0.2057   0.0042 1.0000      58      1169
2209+236 J2212+2355 rags28ai 2017-12-02 18:30:00    C    LL RADIO-AS IRBENE32   0.0  46.9     7.8   170.9 1.063e+09  108.2 0.2413   0.0261 1.0093     588      1176
2209+236 J2212+2355 rags28ai 2017-12-02 18:30:00    C    LL RADIO-AS    TORUN   0.0  51.0    51.1   174.3 1.084e+09  110.3 0.4320   0.0087 1.0003     118      1180
2209+236 J2212+2355 rags28aj 2017-12-02 20:30:14    C    RR IRBENE32    TORUN  31.8  34.0   530.0     8.0 4.959e+07  144.2 0.4555   0.0017 1.0000      59      1174
2209+236 J2212+2355 rags28aj 2017-12-02 20:30:14    C    LL IRBENE32    TORUN  31.8  34.0    78.1     8.0 4.959e+07  144.2 0.1844   0.0041 1.0000      59      1173
2209+236 J2212+2355 rags28aj 2017-12-02 20:30:00    C    LL RADIO-AS    TORUN   0.0  34.0     7.8   410.1 2.551e+09 -169.1 0.1118   0.0138 1.0024     231       461
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:20    L    RR RADIO-AS GBT-VLBA   0.0  75.3    27.7   284.0 5.153e+09 -152.2 0.0393   0.0018 1.0000     131      1048
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:01    C    RR  ARECIBO IRBENE32  79.5  15.9  1318.3    99.5 6.185e+08   22.8 0.3591   0.0069 1.0000      59      1181
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:01    C    RR  ARECIBO    TORUN  79.5  16.2  1542.5    97.7 6.076e+08   27.7 0.2513   0.0023 1.0000      59      1179
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:01    C    RR IRBENE32    TORUN  15.9  16.2   401.8     8.6 5.372e+07  127.0 0.5228   0.0058 1.0000      59      1181
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:01    C    LL  ARECIBO IRBENE32  79.5  15.9   226.2    99.5 6.185e+08   22.8 0.3220   0.0055 1.0000      59      1181
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:01    C    LL  ARECIBO    TORUN  79.5  16.2  1523.2    97.7 6.076e+08   27.7 0.2715   0.0017 1.0000      59      1179
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:01    C    LL IRBENE32    TORUN  15.9  16.2    67.6     8.6 5.372e+07  127.0 0.4879   0.0067 1.0000      59      1181
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:00    C    LL RADIO-AS  ARECIBO   0.0  79.5    30.7   849.6 5.284e+09 -154.6 0.0546   0.0027 1.0002     119      1186
2209+236 J2212+2355 rags28ak 2017-12-02 22:30:00    C    LL RADIO-AS    TORUN   0.0  16.2    11.3   752.0 4.677e+09 -154.9 0.1051   0.0085 1.0054     395      1185
2209+236 J2212+2355 rags28al 2017-12-03 11:30:01    C    RR  HARTRAO IRBENE32  13.1  32.7   198.8   132.3 8.227e+08   13.1 0.7661   0.0032 1.0000      59      1188
2209+236 J2212+2355 rags28al 2017-12-03 11:30:01    C    RR IRBENE32    TORUN  33.3  31.8     8.9     8.3 5.187e+07 -118.2 0.0137   0.0011 1.0035     296      1185
2209+236 J2212+2355 rags28al 2017-12-03 11:30:01    C    LL  HARTRAO IRBENE32  13.1  32.7    33.7   132.3 8.227e+08   13.1 0.3013   0.0097 1.0000      59      1068
2209+236 J2212+2355 rags28al 2017-12-03 11:30:01    C    LL  HARTRAO    TORUN  13.1  31.1     6.9   127.0 7.898e+08   10.2 0.0164   0.0016 1.0206    1184      1184
2209+236 J2212+2355 rags28am 2017-12-03 18:26:20    L    RR GBT-VLBA  HARTRAO  34.7  24.5   985.2    60.2 1.093e+09  129.3 0.5664   0.0022 1.0000      58      1161
2209+236 J2212+2355 rags28am 2017-12-03 18:26:02    L    RR RADIO-AS GBT-VLBA   0.0  34.7     9.0   966.6 1.754e+10 -136.5 0.0146   0.0010 1.0067     298       895
2209+236 J2212+2355 rags28am 2017-12-03 18:26:20    L    LL GBT-VLBA  HARTRAO  34.7  24.5  1041.8    60.2 1.093e+09  129.3 0.5972   0.0013 1.0000      58      1161
2209+236 J2212+2355 rags28an 2017-12-03 20:26:20    L    RR RADIO-AS GBT-VLBA   0.0  58.1     8.3  1000.8 1.816e+10 -136.6 0.0095   0.0008 1.0328     589      1178
2209+236 J2212+2355 rags28ao 2017-12-03 22:26:20    L    RR GBT-VLBA  SVETLOE  75.3  13.3  1006.1    28.0 5.082e+08   41.0 0.4174   0.0016 1.0000      58      1160
2209+236 J2212+2355 rags28ao 2017-12-03 22:26:20    L    LL GBT-VLBA  SVETLOE  75.3  13.3   977.0    28.0 5.082e+08   41.0 0.4463   0.0014 1.0000      58      1160
2209+236 J2212+2355 rags28ap 2017-12-04 18:22:04    L    RR  HARTRAO WSTRB-07  24.6  56.4   169.5    43.0 7.803e+08  -18.6 0.3778   0.0022 1.0000      59      1177
2209+236 J2212+2355 rags28ap 2017-12-04 18:22:04    L    LL  HARTRAO WSTRB-07  24.6  56.4   181.4    43.0 7.803e+08  -18.6 0.4297   0.0022 1.0000      59      1177
2209+236 J2212+2355 rags28aq 2017-12-04 20:22:20    L    RR GBT-VLBA WSTRB-07  58.1  41.1  1354.0    33.6 6.105e+08   73.1 0.4698   0.0021 1.0000      58      1161
2209+236 J2212+2355 rags28aq 2017-12-04 20:22:20    L    LL GBT-VLBA WSTRB-07  58.1  41.1  1518.1    33.6 6.105e+08   73.1 0.5278   0.0013 1.0000      58      1161
2209+236 J2212+2355 raks18el 2017-11-15 05:00:03    C    RR MOPRA    WARK30M   17.1  25.3    49.2    36.2 2.249e+08  113.8 0.1621   0.0020 1.0000      60      3044

2209+236 J2212+2355 raks18el 2017-11-15 05:00:03    C    LL MOPRA    WARK30M   17.1  25.3    75.0    36.2 2.249e+08  113.8 0.2488   0.0022 1.0000      60      3464
